word, type, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT
STOVE, FOIL, HIGH, 2, 0.7342, NA, NA, NA, NA
WAX, FOIL, HIGH, 2, 0.7941, NA, NA, NA, NA
SOLD, FOIL, LOW, 4, 1.5059, NA, NA, NA, NA
SAND, FOIL, HIGH, 5, 1.2507, NA, NA, NA, NA
FORK, FOIL, HIGH, 1, 2.4831, NA, NA, NA, NA
JELLY, FOIL, HIGH, 2, 0.6465, NA, NA, NA, NA
SEVERE, STIM, LOW, 6, 0.4447, 1.9612, -0.8126, 2.7738, 0.1168
VAN, STIM, HIGH, 6, 0.4060, -1.6521, 0.5791, -2.2312, 0.2168
BALL, STIM, HIGH, 4, 1.5574, 0.0605, -2.6849, 2.7454, 0.0667
BEET, FOIL, HIGH, 3, 0.9754, NA, NA, NA, NA
DEBUT, STIM, LOW, 6, 0.5270, -2.3313, 1.8007, 2.1512, 0.2002
PUPIL, FOIL, HIGH, 2, 0.6943, NA, NA, NA, NA
DAISY, STIM, HIGH, 6, 0.4197, 2.9722, 2.3562, 0.6160, 0.1001
FOOT, STIM, HIGH, 6, 0.4120, -0.9212, -1.2890, 0.3678, 0.1668
STOP, FOIL, LOW, 6, 0.5654, NA, NA, NA, NA
CRUEL, FOIL, LOW, 2, 1.4132, NA, NA, NA, NA
HALF, STIM, LOW, 5, 0.7942, 1.8887, 0.7635, 1.1252, 0.2002
INK, STIM, HIGH, 6, 0.5387, 1.6961, -0.7198, 2.4159, 0.0667
HOUSE, FOIL, HIGH, 6, 0.8284, NA, NA, NA, NA
CURFEW, STIM, LOW, 6, 0.5598, 0.2804, 1.5087, -1.2283, 0.6171
CAMEL, FOIL, HIGH, 2, 1.8707, NA, NA, NA, NA
SUCKER, FOIL, LOW, 6, 0.5987, NA, NA, NA, NA
EVENT, FOIL, LOW, 3, 0.4103, NA, NA, NA, NA
UNDER, STIM, LOW, 1, 1.6906, -0.7205, 3.1416, 2.4211, 0.1334
MELT, FOIL, LOW, 4, 1.6753, NA, NA, NA, NA
STEAM, FOIL, HIGH, 5, 1.1529, NA, NA, NA, NA
NEEDLE, STIM, HIGH, 6, 0.7455, 0.5916, -2.7321, -2.9595, 0.2335
ACT, STIM, LOW, 6, 0.4996, -2.4595, -0.5327, -1.9268, 0.1334
OTTER, FOIL, HIGH, 1, 0.5126, NA, NA, NA, NA
ARTIST, FOIL, HIGH, 1, 0.5310, NA, NA, NA, NA
SAD, STIM, LOW, 5, 1.5574, -0.6012, 2.0126, -2.6138, 0.6171
MONK, FOIL, HIGH, 2, 0.6368, NA, NA, NA, NA
JIBE, FOIL, LOW, 1, 0.5571, NA, NA, NA, NA
UNCLE, FOIL, HIGH, 6, 0.8641, NA, NA, NA, NA
WIN, STIM, LOW, 6, 0.5426, -0.7369, 0.8389, -1.5758, 0.1001
JAR, STIM, HIGH, 6, 0.4216, 1.2399, -2.2896, -2.7537, 0.2669
HILL, STIM, HIGH, 6, 0.7032, 2.9840, 2.2143, 0.7697, 0.1334
HUMOUR, STIM, LOW, 6, 0.5282, 0.8876, 0.3437, 0.5439, 0.1334
CAREER, FOIL, LOW, 2, 0.7115, NA, NA, NA, NA
ARMY, STIM, HIGH, 6, 1.1443, -0.6954, 2.5276, 3.0601, 0.1001
BUSH, STIM, HIGH, 6, 0.6504, 0.1016, -0.9786, 1.0802, 0.4170
HAM, FOIL, HIGH, 1, 0.7477, NA, NA, NA, NA
AURAL, STIM, LOW, 6, 0.5975, -3.1390, 2.9152, 0.2290, 0.1501
AIM, FOIL, LOW, 6, 0.7007, NA, NA, NA, NA
CORPSE, STIM, HIGH, 6, 0.8292, 0.2739, -1.1071, 1.3810, 0.3503
SCHEME, FOIL, LOW, 1, 0.5971, NA, NA, NA, NA
BAWL, STIM, LOW, 6, 0.5227, 1.5392, -3.0445, -1.6995, 0.5838
GREED, STIM, LOW, 6, 0.5479, -1.6316, -2.3907, 0.7590, 0.1334
CART, FOIL, HIGH, 2, 1.0023, NA, NA, NA, NA
GARDEN, STIM, HIGH, 6, 0.6312, -2.0146, 1.2367, 3.0320, 0.1334
CANAL, FOIL, HIGH, 2, 1.6158, NA, NA, NA, NA
BURROW, STIM, LOW, 6, 0.5576, 1.2584, -0.9622, 2.2206, 0.1835
CAR, FOIL, HIGH, 4, 1.3571, NA, NA, NA, NA
NIDUS, STIM, LOW, 6, 0.7053, -0.5378, 0.8840, -1.4218, 0.3336
STRIPE, STIM, HIGH, 6, 0.4137, 1.4753, 0.7523, 0.7230, 0.0667
MOTH, FOIL, HIGH, 2, 0.9080, NA, NA, NA, NA
HOWLER, FOIL, LOW, 6, 0.5928, NA, NA, NA, NA
MAST, FOIL, HIGH, 2, 0.8673, NA, NA, NA, NA
ALTER, STIM, LOW, 6, 0.4841, 2.2981, 2.2403, 0.0578, 0.0667
BEACH, STIM, HIGH, 6, 0.4615, 0.3262, -0.0091, 0.3353, 0.1001
BIRD, FOIL, HIGH, 2, 0.7049, NA, NA, NA, NA
ORCHID, STIM, HIGH, 6, 0.4831, -1.1197, 0.0000, -1.1197, 0.0667
TRIM, FOIL, LOW, 1, 0.8196, NA, NA, NA, NA
MUD, FOIL, HIGH, 5, 0.6589, NA, NA, NA, NA
TALK, FOIL, LOW, 1, 0.9569, NA, NA, NA, NA
BAR, FOIL, HIGH, 2, 1.1532, NA, NA, NA, NA
CHEST, STIM, HIGH, 6, 0.5608, -0.5736, 0.5758, -1.1494, 0.0834
SLOUGH, FOIL, LOW, 1, 0.9469, NA, NA, NA, NA
CHEAT, FOIL, LOW, 5, 0.4596, NA, NA, NA, NA
WINDOW, FOIL, HIGH, 6, 0.7860, NA, NA, NA, NA
VASE, STIM, HIGH, 6, 0.7141, 0.6666, -3.1043, -2.5122, 0.4003
THORN, STIM, HIGH, 5, 0.8450, 0.1442, -2.2544, 2.3985, 0.3836
TANK, STIM, HIGH, 6, 0.5465, 2.8970, 2.2589, 0.6382, 0.1668
DOG, FOIL, HIGH, 2, 1.0457, NA, NA, NA, NA
COAST, FOIL, HIGH, 6, 0.8359, NA, NA, NA, NA
SANDAL, FOIL, HIGH, 3, 1.0986, NA, NA, NA, NA
KISS, STIM, HIGH, 6, 0.5524, -2.4903, 1.2847, 2.5082, 0.0667
