word,FREQcount,CDcount,FREQlow,CDlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,length
chose,952,775,943,773,18.67,2.9791,9.24,2.8899,5
stock,1300,775,1228,742,25.49,3.1143,9.24,2.8899,5
photo,1165,774,1122,752,22.84,3.0667,9.23,2.8893,5
eaten,927,766,915,758,18.18,2.9675,9.13,2.8848,5
ghost,1866,764,1456,644,36.59,3.2711,9.11,2.8837,5
walks,936,759,909,747,18.35,2.9717,9.05,2.8808,5
bills,1096,754,1055,737,21.49,3.0402,8.99,2.8779,5
solve,994,754,964,737,19.49,2.9978,8.99,2.8779,5
route,1089,751,901,651,21.35,3.0374,8.95,2.8762,5
fifth,979,748,645,525,19.2,2.9912,8.92,2.8745,5
grace,2157,748,708,513,42.29,3.3341,8.92,2.8745,5
woods,1482,740,1223,668,29.06,3.1711,8.82,2.8698,5
chain,1082,739,1021,708,21.22,3.0346,8.81,2.8692,5
chick,1334,739,1176,704,26.16,3.1255,8.81,2.8692,5
fully,880,739,823,700,17.25,2.945,8.81,2.8692,5
bound,940,738,891,705,18.43,2.9736,8.8,2.8686,5
birds,1320,737,1176,672,25.88,3.1209,8.79,2.8681,5
sneak,861,737,810,710,16.88,2.9355,8.79,2.8681,5
range,1161,736,978,678,22.76,3.0652,8.77,2.8675,5
prize,1142,735,977,634,22.39,3.058,8.76,2.8669,5
cheer,953,733,739,594,18.69,2.9795,8.74,2.8657,5
march,1225,732,625,396,24.02,3.0885,8.73,2.8651,5
climb,1007,724,815,615,19.75,3.0035,8.63,2.8603,5
jimmy,4091,723,37,32,80.22,3.6119,8.62,2.8597,5
fruit,1108,715,994,661,21.73,3.0449,8.52,2.8549,5
hoped,830,710,827,708,16.27,2.9196,8.46,2.8519,5
tries,807,710,802,707,15.82,2.9074,8.46,2.8519,5
suits,895,707,829,659,17.55,2.9523,8.43,2.85,5
grant,1660,706,602,463,32.55,3.2204,8.42,2.8494,5
thief,1238,704,1143,670,24.27,3.0931,8.39,2.8482,5
jokes,1040,700,1014,686,20.39,3.0175,8.35,2.8457,5
files,1358,699,1323,681,26.63,3.1332,8.33,2.8451,5
trace,989,699,860,646,19.39,2.9956,8.33,2.8451,5
cruel,936,690,882,675,18.35,2.9717,8.23,2.8395,5
apple,1207,689,878,560,23.67,3.0821,8.21,2.8388,5
billy,3525,687,35,29,69.12,3.5473,8.19,2.8376,5
sides,827,684,823,680,16.22,2.918,8.15,2.8357,5
roger,2540,680,77,50,49.8,3.405,8.11,2.8331,5
blown,811,677,785,660,15.9,2.9096,8.07,2.8312,5
humor,849,675,780,628,16.65,2.9294,8.05,2.8299,5
madam,2244,674,1314,439,44,3.3512,8.04,2.8293,5
cents,1114,672,1106,667,21.84,3.0473,8.01,2.828,5
purse,1008,672,995,666,19.76,3.0039,8.01,2.828,5
pills,1266,666,1216,653,24.82,3.1028,7.94,2.8241,5
shine,1053,666,945,619,20.65,3.0228,7.94,2.8241,5
stake,847,666,819,652,16.61,2.9284,7.94,2.8241,5
sport,1015,665,939,643,19.9,3.0069,7.93,2.8235,5
metal,992,663,919,626,19.45,2.9969,7.9,2.8222,5
costs,805,660,778,639,15.78,2.9063,7.87,2.8202,5
alert,1051,658,882,581,20.61,3.022,7.84,2.8189,5
dates,931,658,906,644,18.25,2.9694,7.84,2.8189,5
guide,910,657,758,563,17.84,2.9595,7.83,2.8182,5
marks,1117,651,1006,622,21.9,3.0484,7.76,2.8142,5
beats,767,648,540,468,15.04,2.8854,7.73,2.8122,5
opens,848,648,806,618,16.63,2.9289,7.73,2.8122,5
forth,804,642,797,636,15.76,2.9058,7.65,2.8082,5
fifty,960,640,488,343,18.82,2.9827,7.63,2.8069,5
shown,723,640,720,638,14.18,2.8597,7.63,2.8069,5
anger,991,639,902,611,19.43,2.9965,7.62,2.8062,5
bride,1235,638,1148,612,24.22,3.092,7.61,2.8055,5
glory,1096,636,830,576,21.49,3.0402,7.58,2.8041,5
blows,793,635,728,592,15.55,2.8998,7.57,2.8035,5
print,1018,635,922,590,19.96,3.0082,7.57,2.8035,5
wings,1003,635,947,607,19.67,3.0017,7.57,2.8035,5
cared,723,634,720,633,14.18,2.8597,7.56,2.8028,5
union,1111,632,584,353,21.78,3.0461,7.53,2.8014,5
china,1268,631,168,122,24.86,3.1035,7.52,2.8007,5
hopes,770,628,753,617,15.1,2.8871,7.49,2.7987,5
crush,857,625,772,581,16.8,2.9335,7.45,2.7966,5
habit,738,624,725,616,14.47,2.8686,7.44,2.7959,5
trail,979,624,921,598,19.2,2.9912,7.44,2.7959,5
cheat,901,616,861,595,17.67,2.9552,7.34,2.7903,5
whore,1076,616,1020,593,21.1,3.0322,7.34,2.7903,5
songs,1132,615,1088,598,22.2,3.0542,7.33,2.7896,5
basic,794,614,716,572,15.57,2.9004,7.32,2.7889,5
hills,1027,609,533,365,20.14,3.012,7.26,2.7853,5
gross,779,602,609,493,15.27,2.8921,7.18,2.7803,5
youth,858,600,747,536,16.82,2.934,7.15,2.7789,5
coach,2429,599,1399,513,47.63,3.3856,7.14,2.7782,5
blast,825,598,661,513,16.18,2.917,7.13,2.7774,5
boots,977,598,905,571,19.16,2.9903,7.13,2.7774,5
brief,732,598,693,580,14.35,2.8651,7.13,2.7774,5
charm,794,597,750,583,15.57,2.9004,7.12,2.7767,5
holds,728,597,710,584,14.27,2.8627,7.12,2.7767,5
penny,1239,597,657,492,24.29,3.0934,7.12,2.7767,5
piano,1268,597,1152,559,24.86,3.1035,7.12,2.7767,5
strip,800,596,610,480,15.69,2.9036,7.11,2.776,5
units,1032,596,1002,585,20.24,3.0141,7.11,2.776,5
daily,797,588,573,465,15.63,2.902,7.01,2.7701,5
title,947,588,910,566,18.57,2.9768,7.01,2.7701,5
vegas,2054,588,15,11,40.27,3.3128,7.01,2.7701,5
salad,868,586,828,560,17.02,2.939,6.99,2.7686,5
brush,722,584,645,534,14.16,2.8591,6.96,2.7672,5
belly,794,582,728,553,15.57,2.9004,6.94,2.7657,5
bobby,3547,578,26,22,69.55,3.55,6.89,2.7627,5
flash,783,578,609,502,15.35,2.8943,6.89,2.7627,5
moron,754,578,681,531,14.78,2.8779,6.89,2.7627,5
actor,1343,574,1293,561,26.33,3.1284,6.84,2.7597,5
guilt,760,574,706,552,14.9,2.8814,6.84,2.7597,5
adult,729,573,699,559,14.29,2.8633,6.83,2.7589,5
civil,813,571,596,452,15.94,2.9106,6.81,2.7574,5
fever,1017,570,888,533,19.94,3.0077,6.8,2.7566,5
jerry,3173,570,51,9,62.22,3.5016,6.8,2.7566,5
swell,1061,570,880,491,20.8,3.0261,6.8,2.7566,5
slide,909,569,771,501,17.82,2.959,6.78,2.7559,5
wears,651,569,631,554,12.76,2.8142,6.78,2.7559,5
wives,787,569,757,557,15.43,2.8965,6.78,2.7559,5
pilot,1360,567,1159,521,26.67,3.1339,6.76,2.7543,5
burns,1180,565,539,399,23.14,3.0722,6.74,2.7528,5
thick,713,564,662,539,13.98,2.8537,6.72,2.752,5
squad,1096,563,879,494,21.49,3.0402,6.71,2.7513,5
alley,831,562,718,516,16.29,2.9201,6.7,2.7505,5
limit,664,561,655,558,13.02,2.8228,6.69,2.7497,5
trunk,1010,561,985,553,19.8,3.0048,6.69,2.7497,5
flies,717,558,655,521,14.06,2.8561,6.65,2.7474,5
angle,761,557,733,546,14.92,2.882,6.64,2.7466,5
boxes,800,557,774,545,15.69,2.9036,6.64,2.7466,5
holes,779,556,764,550,15.27,2.8921,6.63,2.7459,5
beast,1252,552,899,503,24.55,3.098,6.58,2.7427,5
fence,819,552,803,544,16.06,2.9138,6.58,2.7427,5
grass,856,550,797,531,16.78,2.933,6.56,2.7412,5
prime,933,546,586,436,18.29,2.9703,6.51,2.738,5
socks,932,546,864,529,18.27,2.9699,6.51,2.738,5
gimme,982,545,226,168,19.25,2.9926,6.5,2.7372,5
pussy,1309,545,1158,500,25.67,3.1173,6.5,2.7372,5
steel,941,545,790,496,18.45,2.9741,6.5,2.7372,5
chill,828,540,559,412,16.24,2.9186,6.44,2.7332,5
tower,1165,540,696,387,22.84,3.0667,6.44,2.7332,5
homes,722,539,678,519,14.16,2.8591,6.43,2.7324,5
shove,674,539,536,450,13.22,2.8293,6.43,2.7324,5
drank,656,536,633,519,12.86,2.8176,6.39,2.73,5
cable,1108,535,850,505,21.73,3.0449,6.38,2.7292,5
equal,682,535,640,510,13.37,2.8344,6.38,2.7292,5
chips,828,533,757,497,16.24,2.9186,6.35,2.7275,5
minor,654,531,582,491,12.82,2.8162,6.33,2.7259,5
pulse,1200,530,823,474,23.53,3.0795,6.32,2.7251,5
bravo,970,527,81,68,19.02,2.9872,6.28,2.7226,5
broad,751,527,709,502,14.73,2.8762,6.28,2.7226,5
frame,719,527,691,513,14.1,2.8573,6.28,2.7226,5
sends,585,527,553,502,11.47,2.7679,6.28,2.7226,5
moral,689,526,636,501,13.51,2.8388,6.27,2.7218,5
snake,1140,526,834,455,22.35,3.0573,6.27,2.7218,5
apply,638,525,594,494,12.51,2.8055,6.26,2.721,5
towel,722,525,687,508,14.16,2.8591,6.26,2.721,5
patch,888,521,586,431,17.41,2.9489,6.21,2.7177,5
bible,935,520,104,76,18.33,2.9713,6.2,2.7168,5
steak,828,520,742,481,16.24,2.9186,6.2,2.7168,5
wreck,697,518,677,506,13.67,2.8439,6.18,2.7152,5
curse,929,517,836,480,18.22,2.9685,6.16,2.7143,5
cried,662,514,651,507,12.98,2.8215,6.13,2.7118,5
sakes,607,513,601,509,11.9,2.7839,6.12,2.711,5
stink,673,513,646,505,13.2,2.8287,6.12,2.711,5
safer,580,511,553,493,11.37,2.7642,6.09,2.7093,5
fools,681,509,601,467,13.35,2.8338,6.07,2.7076,5
mayor,1595,508,866,370,31.27,3.203,6.06,2.7067,5
noble,744,506,638,459,14.59,2.8722,6.03,2.705,5
royal,1185,506,608,304,23.24,3.0741,6.03,2.705,5
basis,609,504,608,503,11.94,2.7853,6.01,2.7033,5
saint,914,504,400,281,17.92,2.9614,6.01,2.7033,5
skull,750,503,691,484,14.71,2.8756,6,2.7024,5
souls,754,503,716,488,14.78,2.8779,6,2.7024,5
spoil,593,502,574,497,11.63,2.7738,5.98,2.7016,5
brand,712,499,587,458,13.96,2.8531,5.95,2.699,5
gifts,732,499,698,490,14.35,2.8651,5.95,2.699,5
pages,695,498,654,465,13.63,2.8426,5.94,2.6981,5
slave,940,498,880,474,18.43,2.9736,5.94,2.6981,5
owned,599,497,591,489,11.75,2.7782,5.93,2.6972,5
shave,702,497,645,472,13.76,2.847,5.93,2.6972,5
yards,760,497,754,494,14.9,2.8814,5.93,2.6972,5
pound,708,493,671,475,13.88,2.8506,5.88,2.6937,5
sauce,795,492,776,486,15.59,2.9009,5.87,2.6928,5
prick,720,484,661,451,14.12,2.8579,5.77,2.6857,5
upper,616,484,489,405,12.08,2.7903,5.77,2.6857,5
alike,579,482,578,481,11.35,2.7634,5.75,2.6839,5
drama,1028,480,555,394,20.16,3.0124,5.72,2.6821,5
acted,548,476,541,470,10.75,2.7396,5.67,2.6785,5
witch,1410,475,1192,434,27.65,3.1495,5.66,2.6776,5
pitch,792,474,744,454,15.53,2.8993,5.65,2.6767,5
twins,770,474,654,423,15.1,2.8871,5.65,2.6767,5
radar,1811,472,481,311,35.51,3.2582,5.63,2.6749,5
motor,671,470,557,400,13.16,2.8274,5.6,2.673,5
crawl,614,469,511,441,12.04,2.7889,5.59,2.6721,5
motel,927,469,762,401,18.18,2.9675,5.59,2.6721,5
wagon,906,468,867,451,17.76,2.9576,5.58,2.6712,5
loyal,612,467,592,456,12,2.7875,5.57,2.6702,5
merry,1994,467,448,222,39.1,3.2999,5.57,2.6702,5
drill,701,466,658,450,13.75,2.8463,5.56,2.6693,5
handy,623,464,483,436,12.22,2.7952,5.53,2.6675,5
kelly,2876,464,18,6,56.39,3.4589,5.53,2.6675,5
sheet,592,464,579,459,11.61,2.7731,5.53,2.6675,5
twist,643,464,553,418,12.61,2.8089,5.53,2.6675,5
badge,778,463,741,452,15.25,2.8915,5.52,2.6665,5
sword,1335,462,1245,436,26.18,3.1258,5.51,2.6656,5
begun,538,461,533,457,10.55,2.7316,5.5,2.6646,5
drawn,542,461,528,453,10.63,2.7348,5.5,2.6646,5
shout,839,461,727,425,16.45,2.9243,5.5,2.6646,5
cabin,1002,459,937,438,19.65,3.0013,5.47,2.6628,5
delay,562,457,520,436,11.02,2.7505,5.45,2.6609,5
shore,1013,455,503,344,19.86,3.006,5.42,2.659,5
lobby,647,453,625,449,12.69,2.8116,5.4,2.6571,5
dated,598,452,588,446,11.73,2.7774,5.39,2.6561,5
grief,552,450,533,434,10.82,2.7427,5.36,2.6542,5
bingo,640,449,187,125,12.55,2.8069,5.35,2.6532,5
entry,620,449,581,433,12.16,2.7931,5.35,2.6532,5
stiff,523,449,500,434,10.25,2.7193,5.35,2.6532,5
theme,710,449,657,418,13.92,2.8519,5.35,2.6532,5
sales,648,447,585,407,12.71,2.8122,5.33,2.6513,5
clown,807,446,725,416,15.82,2.9074,5.32,2.6503,5
teams,790,445,760,436,15.49,2.8982,5.31,2.6493,5
roses,723,444,609,387,14.18,2.8597,5.29,2.6484,5
suite,849,442,743,409,16.65,2.9294,5.27,2.6464,5
tiger,945,441,519,315,18.53,2.9759,5.26,2.6454,5
drown,540,439,502,419,10.59,2.7332,5.23,2.6435,5
drops,525,438,503,426,10.29,2.721,5.22,2.6425,5
stare,508,436,483,420,9.96,2.7067,5.2,2.6405,5
poker,819,435,751,418,16.06,2.9138,5.19,2.6395,5
asses,579,433,565,426,11.35,2.7634,5.16,2.6375,5
goods,628,433,609,422,12.31,2.7987,5.16,2.6375,5
creep,573,432,531,410,11.24,2.7589,5.15,2.6365,5
deals,499,432,495,429,9.78,2.699,5.15,2.6365,5
nails,563,432,515,421,11.04,2.7513,5.15,2.6365,5
loses,485,431,477,427,9.51,2.6866,5.14,2.6355,5
added,492,430,484,425,9.65,2.6928,5.13,2.6345,5
fairy,851,430,643,390,16.69,2.9304,5.13,2.6345,5
beans,736,428,634,407,14.43,2.8675,5.1,2.6325,5
liver,729,428,676,402,14.29,2.8633,5.1,2.6325,5
forms,580,426,575,424,11.37,2.7642,5.08,2.6304,5
booze,558,423,515,398,10.94,2.7474,5.04,2.6274,5
sorts,488,423,488,423,9.57,2.6893,5.04,2.6274,5
types,479,423,475,420,9.39,2.6812,5.04,2.6274,5
booth,1039,419,567,355,20.37,3.017,5,2.6232,5
grows,484,415,477,410,9.49,2.6857,4.95,2.6191,5
ships,1002,414,975,405,19.65,3.0013,4.94,2.618,5
waves,674,414,637,390,13.22,2.8293,4.94,2.618,5
fries,596,413,542,401,11.69,2.776,4.92,2.617,5
labor,621,412,515,361,12.18,2.7938,4.91,2.616,5
sixth,551,412,433,328,10.8,2.7419,4.91,2.616,5
scout,657,411,362,216,12.88,2.8182,4.9,2.6149,5
banks,811,410,497,334,15.9,2.9096,4.89,2.6138,5
abuse,523,409,503,396,10.25,2.7193,4.88,2.6128,5
meets,475,409,463,401,9.31,2.6776,4.88,2.6128,5
phase,629,409,502,367,12.33,2.7993,4.88,2.6128,5
steam,686,408,606,393,13.45,2.837,4.86,2.6117,5
sworn,494,408,486,403,9.69,2.6946,4.86,2.6117,5
dough,810,407,783,400,15.88,2.909,4.85,2.6107,5
clerk,658,405,558,367,12.9,2.8189,4.83,2.6085,5
thumb,603,404,559,388,11.82,2.781,4.82,2.6075,5
fetch,559,403,402,325,10.96,2.7482,4.8,2.6064,5
fried,518,403,456,360,10.16,2.7152,4.8,2.6064,5
shell,674,403,520,370,13.22,2.8293,4.8,2.6064,5
heels,510,402,497,397,10,2.7084,4.79,2.6053,5
tools,567,401,540,383,11.12,2.7543,4.78,2.6042,5
tooth,692,401,621,380,13.57,2.8407,4.78,2.6042,5
mount,597,400,198,164,11.71,2.7767,4.77,2.6031,5
mouse,975,400,750,323,19.12,2.9894,4.77,2.6031,5
spots,527,400,503,393,10.33,2.7226,4.77,2.6031,5
bacon,605,399,461,341,11.86,2.7825,4.76,2.6021,5
beard,643,399,625,390,12.61,2.8089,4.76,2.6021,5
bleed,515,398,493,387,10.1,2.7126,4.74,2.601,5
quote,488,396,467,386,9.57,2.6893,4.72,2.5988,5
clubs,531,394,513,383,10.41,2.7259,4.7,2.5966,5
reads,445,394,427,380,8.73,2.6493,4.7,2.5966,5
blade,663,392,469,362,13,2.8222,4.67,2.5944,5
sheep,685,392,614,372,13.43,2.8363,4.67,2.5944,5
scale,485,391,469,383,9.51,2.6866,4.66,2.5933,5
blank,495,390,465,373,9.71,2.6955,4.65,2.5922,5
hears,470,390,463,384,9.22,2.673,4.65,2.5922,5
cloud,599,388,498,358,11.75,2.7782,4.63,2.5899,5
cigar,660,387,603,368,12.94,2.8202,4.61,2.5888,5
faint,473,386,427,355,9.27,2.6758,4.6,2.5877,5
rumor,531,386,445,326,10.41,2.7259,4.6,2.5877,5
tense,522,386,504,381,10.24,2.7185,4.6,2.5877,5
brass,618,385,364,292,12.12,2.7917,4.59,2.5866,5
rifle,743,385,712,371,14.57,2.8716,4.59,2.5866,5
skirt,508,385,494,377,9.96,2.7067,4.59,2.5866,5
demon,1593,384,1437,359,31.24,3.2025,4.58,2.5855,5
bells,671,383,550,334,13.16,2.8274,4.57,2.5843,5
forty,539,383,246,187,10.57,2.7324,4.57,2.5843,5
puppy,584,383,542,361,11.45,2.7672,4.57,2.5843,5
beers,548,382,475,372,10.75,2.7396,4.55,2.5832,5
inner,507,382,485,370,9.94,2.7059,4.55,2.5832,5
award,657,381,489,281,12.88,2.8182,4.54,2.5821,5
bombs,728,381,655,351,14.27,2.8627,4.54,2.5821,5
cliff,1100,381,383,272,21.57,3.0418,4.54,2.5821,5
sweep,485,381,411,346,9.51,2.6866,4.54,2.5821,5
widow,617,378,540,349,12.1,2.791,4.51,2.5786,5
tapes,664,377,657,377,13.02,2.8228,4.49,2.5775,5
goose,665,376,424,314,13.04,2.8235,4.48,2.5763,5
opera,873,376,740,338,17.12,2.9415,4.48,2.5763,5
sober,515,376,481,355,10.1,2.7126,4.48,2.5763,5
lungs,540,375,513,358,10.59,2.7332,4.47,2.5752,5
fears,467,374,452,364,9.16,2.6702,4.46,2.574,5
blond,533,373,493,348,10.45,2.7275,4.45,2.5729,5
filed,449,373,443,369,8.8,2.6532,4.45,2.5729,5
smack,485,371,417,333,9.51,2.6866,4.42,2.5705,5
wrist,527,370,515,363,10.33,2.7226,4.41,2.5694,5
fires,498,368,475,356,9.76,2.6981,4.39,2.567,5
howdy,664,368,69,55,13.02,2.8228,4.39,2.567,5
picks,468,368,453,356,9.18,2.6712,4.39,2.567,5
backs,400,367,391,361,7.84,2.6031,4.38,2.5658,5
swore,446,367,442,363,8.75,2.6503,4.38,2.5658,5
burst,435,366,422,360,8.53,2.6395,4.36,2.5647,5
cells,610,366,602,364,11.96,2.786,4.36,2.5647,5
chuck,1096,363,106,91,21.49,3.0402,4.33,2.5611,5
crown,698,363,559,293,13.69,2.8445,4.33,2.5611,5
error,473,363,447,357,9.27,2.6758,4.33,2.5611,5
kitty,1362,363,578,208,26.71,3.1345,4.33,2.5611,5
areas,456,362,448,357,8.94,2.6599,4.32,2.5599,5
petty,438,362,355,328,8.59,2.6425,4.32,2.5599,5
roast,499,362,435,337,9.78,2.699,4.32,2.5599,5
burnt,488,361,450,342,9.57,2.6893,4.3,2.5587,5
dizzy,430,357,382,327,8.43,2.6345,4.26,2.5539,5
slice,435,357,396,333,8.53,2.6395,4.26,2.5539,5
rolls,448,356,379,316,8.78,2.6522,4.24,2.5527,5
spill,432,356,353,302,8.47,2.6365,4.24,2.5527,5
vital,396,354,376,340,7.76,2.5988,4.22,2.5502,5
wiped,401,354,383,341,7.86,2.6042,4.22,2.5502,5
flush,478,352,432,329,9.37,2.6803,4.2,2.5478,5
kicks,414,351,399,341,8.12,2.618,4.18,2.5465,5
taxes,497,350,473,342,9.75,2.6972,4.17,2.5453,5
meals,404,349,387,337,7.92,2.6075,4.16,2.5441,5
setup,440,348,434,345,8.63,2.6444,4.15,2.5428,5
snack,466,348,427,326,9.14,2.6693,4.15,2.5428,5
chaos,479,347,410,316,9.39,2.6812,4.14,2.5416,5
films,750,347,718,333,14.71,2.8756,4.14,2.5416,5
carol,1465,346,16,12,28.73,3.1661,4.12,2.5403,5
nicer,382,346,371,336,7.49,2.5832,4.12,2.5403,5
gates,684,345,385,275,13.41,2.8357,4.11,2.5391,5
penis,684,345,645,337,13.41,2.8357,4.11,2.5391,5
lemon,613,344,376,277,12.02,2.7882,4.1,2.5378,5
pulls,404,343,391,334,7.92,2.6075,4.09,2.5366,5
bench,493,342,474,330,9.67,2.6937,4.08,2.5353,5
fraud,512,342,492,332,10.04,2.7101,4.08,2.5353,5
latin,561,342,30,23,11,2.7497,4.08,2.5353,5
spray,492,342,459,320,9.65,2.6928,4.08,2.5353,5
dealt,379,341,376,338,7.43,2.5798,4.07,2.534,5
bunny,946,340,430,215,18.55,2.9763,4.05,2.5328,5
roads,462,340,438,329,9.06,2.6656,4.05,2.5328,5
bears,581,339,440,276,11.39,2.7649,4.04,2.5315,5
chart,483,339,464,331,9.47,2.6848,4.04,2.5315,5
boats,599,338,544,319,11.75,2.7782,4.03,2.5302,5
drain,440,337,420,327,8.63,2.6444,4.02,2.5289,5
occur,379,337,378,336,7.43,2.5798,4.02,2.5289,5
bonus,469,336,445,323,9.2,2.6721,4.01,2.5276,5
glove,515,336,475,324,10.1,2.7126,4.01,2.5276,5
porch,491,336,480,334,9.63,2.692,4.01,2.5276,5
prior,422,336,379,312,8.27,2.6263,4.01,2.5276,5
spite,388,336,382,334,7.61,2.5899,4.01,2.5276,5
stall,457,335,372,300,8.96,2.6609,3.99,2.5263,5
cough,448,334,387,295,8.78,2.6522,3.98,2.525,5
dummy,500,334,440,313,9.8,2.6998,3.98,2.525,5
refer,374,333,359,319,7.33,2.574,3.97,2.5237,5
risky,393,333,353,316,7.71,2.5955,3.97,2.5237,5
takin,462,333,410,299,9.06,2.6656,3.97,2.5237,5
vodka,515,333,388,275,10.1,2.7126,3.97,2.5237,5
react,385,331,379,327,7.55,2.5866,3.95,2.5211,5
wired,386,329,374,320,7.57,2.5877,3.92,2.5185,5
shiny,398,328,348,300,7.8,2.601,3.91,2.5172,5
skill,404,327,399,325,7.92,2.6075,3.9,2.5159,5
flame,461,323,413,301,9.04,2.6646,3.85,2.5105,5
phony,421,322,402,311,8.25,2.6253,3.84,2.5092,5
diner,632,321,556,289,12.39,2.8014,3.83,2.5079,5
blues,523,320,431,281,10.25,2.7193,3.81,2.5065,5
tires,491,320,449,297,9.63,2.692,3.81,2.5065,5
alien,889,319,788,289,17.43,2.9494,3.8,2.5051,5
fluid,456,319,438,312,8.94,2.6599,3.8,2.5051,5
crane,1714,318,181,92,33.61,3.2343,3.79,2.5038,5
ranch,895,316,787,270,17.55,2.9523,3.77,2.5011,5
horny,428,315,381,298,8.39,2.6325,3.76,2.4997,5
outer,463,315,413,289,9.08,2.6665,3.76,2.4997,5
smash,421,315,345,276,8.25,2.6253,3.76,2.4997,5
harsh,362,314,326,295,7.1,2.5599,3.74,2.4983,5
fatal,362,310,335,287,7.1,2.5599,3.7,2.4928,5
sings,381,310,356,296,7.47,2.5821,3.7,2.4928,5
ideal,374,309,354,298,7.33,2.574,3.68,2.4914,5
rides,366,309,353,300,7.18,2.5647,3.68,2.4914,5
sighs,795,309,575,229,15.59,2.9009,3.68,2.4914,5
ditch,401,308,368,288,7.86,2.6042,3.67,2.49,5
float,381,308,357,295,7.47,2.5821,3.67,2.49,5
wakes,345,308,338,302,6.76,2.5391,3.67,2.49,5
eager,350,307,325,294,6.86,2.5453,3.66,2.4886,5
raped,593,306,572,299,11.63,2.7738,3.65,2.4871,5
ashes,503,305,442,290,9.86,2.7024,3.64,2.4857,5
pearl,799,304,235,118,15.67,2.9031,3.62,2.4843,5
trips,367,304,362,303,7.2,2.5658,3.62,2.4843,5
comic,552,302,514,286,10.82,2.7427,3.6,2.4814,5
draft,371,300,351,287,7.27,2.5705,3.58,2.4786,5
messy,350,300,326,287,6.86,2.5453,3.58,2.4786,5
sells,363,300,345,290,7.12,2.5611,3.58,2.4786,5
kiddo,432,299,388,284,8.47,2.6365,3.56,2.4771,5
cease,445,298,234,203,8.73,2.6493,3.55,2.4757,5
winds,384,298,341,268,7.53,2.5855,3.55,2.4757,5
novel,513,297,504,293,10.06,2.711,3.54,2.4742,5
medal,590,296,470,252,11.57,2.7716,3.53,2.4728,5
adore,394,294,386,290,7.73,2.5966,3.51,2.4698,5
faced,320,294,307,282,6.27,2.5065,3.51,2.4698,5
whack,455,293,401,276,8.92,2.659,3.49,2.4683,5
hunch,383,292,382,291,7.51,2.5843,3.48,2.4669,5
lined,330,292,327,289,6.47,2.5198,3.48,2.4669,5
stunt,469,291,447,289,9.2,2.6721,3.47,2.4654,5
sunny,391,291,264,235,7.67,2.5933,3.47,2.4654,5
theft,344,291,317,275,6.75,2.5378,3.47,2.4654,5
hangs,326,288,310,273,6.39,2.5145,3.43,2.4609,5
kings,457,288,341,223,8.96,2.6609,3.43,2.4609,5
ankle,409,286,399,278,8.02,2.6128,3.41,2.4579,5
aisle,379,284,343,263,7.43,2.5798,3.39,2.4548,5
sandy,1186,284,40,38,23.25,3.0745,3.39,2.4548,5
naive,329,283,307,274,6.45,2.5185,3.37,2.4533,5
weigh,363,283,344,274,7.12,2.5611,3.37,2.4533,5
skies,382,282,361,269,7.49,2.5832,3.36,2.4518,5
stove,387,282,377,275,7.59,2.5888,3.36,2.4518,5
cries,356,281,338,273,6.98,2.5527,3.35,2.4502,5
wires,355,281,344,276,6.96,2.5514,3.35,2.4502,5
cheek,365,280,352,272,7.16,2.5635,3.34,2.4487,5
locks,341,280,327,273,6.69,2.534,3.34,2.4487,5
robin,1272,280,44,33,24.94,3.1048,3.34,2.4487,5
eagle,586,279,267,173,11.49,2.7686,3.33,2.4472,5
champ,771,275,475,255,15.12,2.8876,3.28,2.4409,5
niece,486,275,482,275,9.53,2.6875,3.28,2.4409,5
shelf,355,274,345,269,6.96,2.5514,3.27,2.4393,5
album,522,273,488,262,10.24,2.7185,3.25,2.4378,5
choke,330,272,285,250,6.47,2.5198,3.24,2.4362,5
codes,467,270,461,269,9.16,2.6702,3.22,2.433,5
roots,325,270,295,252,6.37,2.5132,3.22,2.433,5
spoon,388,270,342,256,7.61,2.5899,3.22,2.433,5
sonny,882,269,216,155,17.29,2.946,3.21,2.4314,5
stack,311,269,279,249,6.1,2.4942,3.21,2.4314,5
baked,341,268,302,251,6.69,2.534,3.2,2.4298,5
voted,354,268,345,262,6.94,2.5502,3.2,2.4298,5
corps,555,267,138,89,10.88,2.7451,3.18,2.4281,5
items,343,267,338,266,6.73,2.5366,3.18,2.4281,5
needn,334,266,328,261,6.55,2.525,3.17,2.4265,5
risks,332,265,331,264,6.51,2.5224,3.16,2.4249,5
sting,358,265,289,236,7.02,2.5551,3.16,2.4249,5
baker,698,264,83,63,13.69,2.8445,3.15,2.4232,5
bully,368,264,322,236,7.22,2.567,3.15,2.4232,5
logic,342,264,320,257,6.71,2.5353,3.15,2.4232,5
virus,964,264,935,261,18.9,2.9845,3.15,2.4232,5
ahold,307,263,307,263,6.02,2.4886,3.14,2.4216,5
slick,350,263,240,218,6.86,2.5453,3.14,2.4216,5
hobby,354,262,325,251,6.94,2.5502,3.12,2.42,5
tramp,423,262,329,237,8.29,2.6274,3.12,2.42,5
depth,421,261,382,245,8.25,2.6253,3.11,2.4183,5
pinch,312,261,277,233,6.12,2.4955,3.11,2.4183,5
teddy,811,261,159,113,15.9,2.9096,3.11,2.4183,5
hatch,654,258,508,245,12.82,2.8162,3.08,2.4133,5
