word, stimulus, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT, too_fast
BROW, STIM, SIMULTANEOUS, 6, 1.1678, 0.0457, -2.3044, 2.3501, 2.2326, 0
MILS, STIM, SIMULTANEOUS, 6, 2.0375, -1.7213, -0.7159, -1.0054, 1.0996, 0
SLUG, FOIL, NA, 1, 1.9723, NA, NA, NA, NA, NA
RENT, FOIL, NA, 4, 2.7808, NA, NA, NA, NA, NA
HOUR, STIM, SIMULTANEOUS, 2, 1.9670, -1.4623, 0.7081, -2.1704, 3.1990, 0
JOSE, FOIL, NA, 1, 1.3227, NA, NA, NA, NA, NA
PINT, FOIL, NA, 3, 2.4597, NA, NA, NA, NA, NA
TOON, STIM, SIMULTANEOUS, 6, 1.2078, -1.9358, -1.4142, -0.5216, 1.2829, 0
HICK, FOIL, NA, 4, 2.7470, NA, NA, NA, NA, NA
OILY, STIM, SIMULTANEOUS, 6, 1.0946, 1.1346, -0.8667, 2.0013, 1.5495, 0
CLEM, STIM, SIMULTANEOUS, 6, 1.2371, 1.5266, -2.7640, -1.9926, 2.0993, 0
PAIL, STIM, SIMULTANEOUS, 6, 1.1554, -2.1741, -2.8297, 0.6556, 1.3162, 0
GANT, STIM, SIMULTANEOUS, 5, 1.2765, -1.5564, -3.1053, 1.5490, 1.4495, 0
JUNE, STIM, SIMULTANEOUS, 6, 1.0533, 0.5488, -0.4028, 0.9517, 1.4329, 0
MALI, FOIL, NA, 1, 1.2685, NA, NA, NA, NA, NA
SCAB, FOIL, NA, 1, 1.1873, NA, NA, NA, NA, NA
UNDO, FOIL, NA, 1, 2.2002, NA, NA, NA, NA, NA
DUCK, STIM, SEQUENTIAL, 6, 1.7454, 1.8736, 2.5869, -0.7133, 1.5162, 0
MASA, STIM, SEQUENTIAL, 6, 1.5408, 0.8881, -1.2670, 2.1551, 1.2329, 0
PING, STIM, SEQUENTIAL, 5, 1.6541, -2.2920, -3.0841, 0.7921, 2.7158, 0
JANE, STIM, SEQUENTIAL, 6, 0.9885, 0.2986, 0.7817, -0.4831, 1.2163, 0
ERGO, FOIL, NA, 1, 1.1652, NA, NA, NA, NA, NA
FITS, FOIL, NA, 1, 1.4986, NA, NA, NA, NA, NA
WIND, FOIL, NA, 2, 1.4963, NA, NA, NA, NA, NA
SHEM, FOIL, NA, 2, 3.7238, NA, NA, NA, NA, NA
PERT, STIM, SEQUENTIAL, 6, 2.6580, -2.5800, -0.7560, -1.8240, 1.6162, 0
DIME, STIM, SEQUENTIAL, 6, 1.0985, -1.2668, -2.8000, 1.5332, 3.3489, 0
DOST, STIM, SEQUENTIAL, 2, 1.8491, 2.1498, 0.3350, 1.8149, 1.8661, 0
SOIL, STIM, SEQUENTIAL, 6, 1.1924, 2.4392, 2.3635, 0.0756, 1.5162, 0
