,word,FREQcount,CDcount,FREQlow,CDlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,length
1707,forced,1349,1079,1309,1059,26.45,3.1303,12.86,3.0334,6
1712,square,1620,1072,1176,849,31.76,3.2098,12.78,3.0306,6
1713,stolen,1750,1072,1677,1046,34.31,3.2433,12.78,3.0306,6
1726,riding,1632,1057,1500,996,32,3.213,12.6,3.0245,6
1739,points,1642,1049,1593,1035,32.2,3.2156,12.51,3.0212,6
1745,bridge,2331,1046,1847,889,45.71,3.3677,12.47,3.0199,6
1750,fellas,1973,1043,1741,963,38.69,3.2953,12.43,3.0187,6
1752,cousin,2491,1041,2196,993,48.84,3.3965,12.41,3.0179,6
1754,likely,1314,1041,1266,1014,25.76,3.1189,12.41,3.0179,6
1755,burned,1448,1038,1379,1006,28.39,3.1611,12.37,3.0166,6
1756,caused,1318,1038,1292,1021,25.84,3.1202,12.37,3.0166,6
1757,raised,1312,1038,1275,1016,25.73,3.1183,12.37,3.0166,6
1759,female,1612,1037,1401,937,31.61,3.2076,12.36,3.0162,6
1763,monday,1698,1034,36,31,33.29,3.2302,12.33,3.0149,6
1768,player,1926,1031,1828,1012,37.76,3.2849,12.29,3.0137,6
1773,brains,1401,1028,1335,1003,27.47,3.1467,12.26,3.0124,6
1775,regret,1384,1027,1331,1017,27.14,3.1414,12.24,3.012,6
1781,signal,1926,1024,1786,984,37.76,3.2849,12.21,3.0107,6
1782,higher,1420,1023,1273,952,27.84,3.1526,12.2,3.0103,6
1788,rights,1510,1021,1424,981,29.61,3.1793,12.17,3.0095,6
1790,client,2715,1020,2693,1014,53.24,3.4339,12.16,3.009,6
1792,yellow,1724,1019,1323,883,33.8,3.2368,12.15,3.0086,6
1800,amount,1262,1012,1260,1010,24.75,3.1014,12.06,3.0056,6
1801,boring,1398,1012,1277,953,27.41,3.1458,12.06,3.0056,6
1811,bullet,1950,1006,1676,966,38.24,3.2903,11.99,3.003,6
1813,dating,1689,1002,1612,969,33.12,3.2279,11.95,3.0013,6
1819,season,1605,1000,1453,882,31.47,3.2057,11.92,3.0004,6
1820,switch,1434,1000,1225,895,28.12,3.1569,11.92,3.0004,6
1825,energy,1678,995,1587,963,32.9,3.2251,11.86,2.9983,6
1828,surely,1407,994,716,565,27.59,3.1486,11.85,2.9978,6
1833,pounds,1595,992,1584,987,31.27,3.203,11.83,2.9969,6
1842,freeze,1640,988,686,515,32.16,3.2151,11.78,2.9952,6
1858,ruined,1302,981,1257,964,25.53,3.1149,11.7,2.9921,6
1862,fought,1362,978,1327,963,26.71,3.1345,11.66,2.9908,6
1873,proper,1289,972,1266,964,25.27,3.1106,11.59,2.9881,6
1874,jacket,1704,971,1667,957,33.41,3.2317,11.58,2.9877,6
1881,theory,1459,965,1415,948,28.61,3.1644,11.5,2.985,6
1889,slowly,1279,959,989,805,25.08,3.1072,11.43,2.9823,6
1892,appear,1192,957,1168,947,23.37,3.0766,11.41,2.9814,6
1894,clever,1391,957,1239,886,27.27,3.1436,11.41,2.9814,6
1898,easily,1151,955,1114,927,22.57,3.0615,11.39,2.9805,6
1918,loving,1275,946,1134,875,25,3.1059,11.28,2.9763,6
1920,target,1936,945,1672,878,37.96,3.2871,11.27,2.9759,6
1929,fourth,1349,940,936,723,26.45,3.1303,11.21,2.9736,6
1944,direct,1226,931,1147,883,24.04,3.0888,11.1,2.9694,6
1948,effect,1219,930,1200,921,23.9,3.0864,11.09,2.9689,6
1959,create,1289,924,1253,903,25.27,3.1106,11.02,2.9661,6
1960,access,1615,923,1483,879,31.67,3.2084,11,2.9657,6
1964,county,1722,920,742,459,33.76,3.2363,10.97,2.9643,6
1974,winner,1592,916,1431,858,31.22,3.2022,10.92,2.9624,6
1993,button,1441,900,1322,851,28.25,3.159,10.73,2.9547,6
1995,bloody,1962,899,1577,781,38.47,3.2929,10.72,2.9542,6
2001,suffer,1148,898,1121,883,22.51,3.0603,10.71,2.9538,6
2002,intend,1183,897,1180,895,23.2,3.0734,10.69,2.9533,6
2008,leader,1589,894,1346,846,31.16,3.2014,10.66,2.9518,6
2013,twenty,1378,892,660,421,27.02,3.1396,10.63,2.9509,6
2016,manage,1095,889,1083,885,21.47,3.0398,10.6,2.9494,6
2020,closet,1381,886,1360,876,27.08,3.1405,10.56,2.9479,6
2026,guests,1311,884,1256,865,25.71,3.1179,10.54,2.9469,6
2031,talent,1332,883,1279,867,26.12,3.1248,10.53,2.9465,6
2038,thrown,1047,881,1022,867,20.53,3.0204,10.5,2.9455,6
2040,toward,1169,879,1132,856,22.92,3.0682,10.48,2.9445,6
2041,busted,1168,876,1062,801,22.9,3.0678,10.44,2.943,6
2043,stands,1093,876,1039,852,21.43,3.039,10.44,2.943,6
2045,highly,1081,874,1032,834,21.2,3.0342,10.42,2.942,6
2048,dollar,1410,872,1338,842,27.65,3.1495,10.4,2.941,6
2052,mirror,1233,871,1175,851,24.18,3.0913,10.38,2.9405,6
2054,scream,1347,866,1220,803,26.41,3.1297,10.32,2.938,6
2070,horses,2087,859,1972,836,40.92,3.3197,10.24,2.9345,6
2071,planet,1975,858,1771,790,38.73,3.2958,10.23,2.934,6
2077,spoken,1012,857,949,812,19.84,3.0056,10.22,2.9335,6
2087,sports,1407,852,1165,754,27.59,3.1486,10.16,2.9309,6
2088,hearts,1172,851,1082,813,22.98,3.0693,10.15,2.9304,6
2096,jumped,1078,849,1056,835,21.14,3.033,10.12,2.9294,6
2097,kissed,1454,849,1436,842,28.51,3.1629,10.12,2.9294,6
2099,refuse,1070,849,1051,834,20.98,3.0298,10.12,2.9294,6
2100,policy,1378,847,1351,836,27.02,3.1396,10.1,2.9284,6
2105,stairs,1212,846,1167,824,23.76,3.0839,10.09,2.9279,6
2111,expert,1128,842,1105,832,22.12,3.0527,10.04,2.9258,6
2114,secure,1241,842,1038,749,24.33,3.0941,10.04,2.9258,6
2115,garden,1354,841,1066,676,26.55,3.1319,10.03,2.9253,6
2117,served,1007,841,972,820,19.75,3.0035,10.03,2.9253,6
2123,outfit,1280,838,1278,838,25.1,3.1075,9.99,2.9238,6
2127,hidden,1085,835,1016,791,21.27,3.0358,9.95,2.9222,6
2129,affair,1502,834,1467,821,29.45,3.177,9.94,2.9217,6
2151,object,1314,823,1283,814,25.76,3.1189,9.81,2.9159,6
2155,assure,1021,819,1011,811,20.02,3.0095,9.76,2.9138,6
2157,latest,955,819,925,794,18.73,2.9805,9.76,2.9138,6
2161,junior,1825,818,608,469,35.78,3.2615,9.75,2.9133,6
2163,remove,1084,818,896,721,21.25,3.0354,9.75,2.9133,6
2168,garage,1388,816,1344,798,27.22,3.1427,9.73,2.9122,6
2180,source,1437,812,1131,777,28.18,3.1578,9.68,2.9101,6
2186,breaks,960,809,924,781,18.82,2.9827,9.64,2.9085,6
2190,engine,1626,807,1393,718,31.88,3.2114,9.62,2.9074,6
2208,effort,987,795,985,793,19.35,2.9948,9.48,2.9009,6
2212,pushed,1045,794,1025,785,20.49,3.0195,9.47,2.9004,6
2228,recall,1003,787,975,773,19.67,3.0017,9.38,2.8965,6
2233,mighty,1355,785,1126,708,26.57,3.1323,9.36,2.8954,6
2236,silent,1173,785,945,712,23,3.0697,9.36,2.8954,6
2237,monkey,1709,782,1403,716,33.51,3.233,9.32,2.8938,6
2242,johnny,4408,779,14,9,86.43,3.6443,9.29,2.8921,6
2247,result,1008,777,995,770,19.76,3.0039,9.26,2.891,6
2252,artist,1460,775,1418,760,28.63,3.1647,9.24,2.8899,6
2258,senior,1339,774,1051,674,26.25,3.1271,9.23,2.8893,6
2261,london,2347,773,15,8,46.02,3.3707,9.22,2.8887,6
2264,ignore,951,771,794,662,18.65,2.9786,9.19,2.8876,6
2272,rescue,1296,766,1137,724,25.41,3.1129,9.13,2.8848,6
2273,screen,1193,766,1152,749,23.39,3.077,9.13,2.8848,6
2288,loaded,948,760,916,741,18.59,2.9773,9.06,2.8814,6
2294,threat,1059,757,1033,747,20.76,3.0253,9.02,2.8797,6
2309,insist,910,751,901,747,17.84,2.9595,8.95,2.8762,6
2311,vision,1218,751,1164,729,23.88,3.086,8.95,2.8762,6
2313,joking,949,749,922,736,18.61,2.9777,8.93,2.8751,6
2322,packed,904,745,861,716,17.73,2.9566,8.88,2.8727,6
2323,ripped,972,745,612,494,19.06,2.9881,8.88,2.8727,6
2328,steady,1158,742,741,556,22.71,3.0641,8.85,2.871,6
2338,houses,975,738,933,719,19.12,2.9894,8.8,2.8686,6
2340,detail,989,737,929,709,19.39,2.9956,8.79,2.8681,6
2358,desert,1427,730,1230,645,27.98,3.1547,8.7,2.8639,6
2360,tricks,969,730,945,718,19,2.9868,8.7,2.8639,6
2367,cancel,933,727,792,633,18.29,2.9703,8.67,2.8621,6
2372,arrive,953,725,942,721,18.69,2.9795,8.64,2.8609,6
2375,commit,984,724,965,717,19.29,2.9934,8.63,2.8603,6
2379,wasted,854,722,825,707,16.75,2.932,8.61,2.8591,6
2381,former,932,719,840,665,18.27,2.9699,8.57,2.8573,6
2384,fallen,863,718,831,697,16.92,2.9365,8.56,2.8567,6
2386,begins,844,716,830,709,16.55,2.9269,8.54,2.8555,6
2389,cheers,1158,711,211,171,22.71,3.0641,8.48,2.8525,6
2391,series,1028,711,837,624,20.16,3.0124,8.48,2.8525,6
2394,smooth,932,710,731,591,18.27,2.9699,8.46,2.8519,6
2396,aboard,1358,709,1335,706,26.63,3.1332,8.45,2.8513,6
2402,mental,1002,707,926,671,19.65,3.0013,8.43,2.85,6
2404,actual,884,706,859,687,17.33,2.9469,8.42,2.8494,6
2420,joined,841,700,825,687,16.49,2.9253,8.35,2.8457,6
2422,supply,952,700,873,652,18.67,2.9791,8.35,2.8457,6
2427,poison,1252,696,1133,644,24.55,3.098,8.3,2.8432,6
2428,finest,840,695,796,668,16.47,2.9248,8.29,2.8426,6
2435,warned,808,693,802,689,15.84,2.9079,8.26,2.8414,6
2438,issues,954,692,946,688,18.71,2.98,8.25,2.8407,6
2447,circle,1097,689,898,596,21.51,3.0406,8.21,2.8388,6
2449,prince,2299,689,979,396,45.08,3.3617,8.21,2.8388,6
2451,wallet,1163,689,1143,677,22.8,3.066,8.21,2.8388,6
2456,demand,873,687,841,668,17.12,2.9415,8.19,2.8376,6
2457,estate,1076,687,1022,670,21.1,3.0322,8.19,2.8376,6
2471,island,2018,684,1987,677,39.57,3.3051,8.15,2.8357,6
2476,defend,959,683,928,667,18.8,2.9823,8.14,2.8351,6
2482,speaks,1068,681,901,646,20.94,3.029,8.12,2.8338,6
2495,modern,930,676,800,608,18.24,2.9689,8.06,2.8306,6
2501,powers,1826,675,1499,620,35.8,3.2617,8.05,2.8299,6
2503,gather,799,674,623,555,15.67,2.9031,8.04,2.8293,6
2507,butter,1042,672,945,638,20.43,3.0183,8.01,2.828,6
2518,dumped,915,670,891,660,17.94,2.9619,7.99,2.8267,6
2521,messed,853,669,838,658,16.73,2.9315,7.98,2.8261,6
2524,events,860,668,838,652,16.86,2.935,7.96,2.8254,6
2525,forces,1064,668,933,596,20.86,3.0273,7.96,2.8254,6
2537,struck,826,665,805,659,16.2,2.9175,7.93,2.8235,6
2539,chosen,927,664,880,646,18.18,2.9675,7.92,2.8228,6
2543,wishes,940,663,922,652,18.43,2.9736,7.9,2.8222,6
2569,behave,828,652,721,585,16.24,2.9186,7.77,2.8149,6
2578,rotten,891,650,824,616,17.47,2.9504,7.75,2.8136,6
2583,twelve,960,649,455,328,18.82,2.9827,7.74,2.8129,6
2607,timing,764,641,728,620,14.98,2.8837,7.64,2.8075,6
2618,damned,898,639,781,584,17.61,2.9538,7.62,2.8062,6
2628,guards,1237,635,999,561,24.25,3.0927,7.57,2.8035,6
