"","X","word","type","condition","recog_rating","recog_RT","target_angle","response_angle","response_error","response_RT","participant"
"383",383,"PURL"," STIM"," LOW","6",1.349,-2.9591,2.3232,1.0008,0.3836,1
"384",384,"FACTOR"," STIM"," LOW","1",1.2578,0.9041,0.6908,0.2133,0.2669,1
"387",387,"QUEAN"," STIM"," LOW","1",0.9769,1.5351,-0.7266,2.2617,0.5504,1
"388",388,"KNOWN"," STIM"," LOW","1",2.6489,-1.9966,0.0435,-2.04,0.3503,1
"390",390,"CHINA"," STIM"," HIGH","6",0.815,-2.082,-2.1574,0.0753,0.2835,1
"391",391,"CATTLE"," STIM"," HIGH","1",1.054,2.6662,-2.2617,-1.3552,0.5004,1
"392",392,"SISTER"," STIM"," HIGH","6",1.1968,2.0082,0.0621,1.9461,0.4337,1
"396",396,"LETTER"," STIM"," HIGH","1",2.1458,2.9591,-2.5025,-0.8216,0.3169,1
"400",400,"WALL"," STIM"," HIGH","1",0.4039,1.8113,2.7526,-0.9414,0.4003,1
"401",401,"SNAIL"," STIM"," HIGH","1",2.2891,0.5319,-3.013,-2.7383,0.4337,1
"402",402,"POOL"," STIM"," HIGH","1",0.908,-0.5303,2.219,-2.7493,1.0174,1
"405",405,"RANGE"," STIM"," LOW","6",0.8899,-1.1692,-0.3841,-0.7851,0.3669,1
"406",406,"RAT"," STIM"," HIGH","1",0.9985,3.0364,-0.5214,-2.7254,0.3336,1
"407",407,"SEQUEL"," STIM"," LOW","6",0.757,-0.6138,-0.6572,0.0434,0.3836,1
"408",408,"TICKET"," STIM"," HIGH","6",0.7156,2.9069,2.4041,0.5028,0.467,1
"409",409,"MIRROR"," STIM"," HIGH","1",0.6955,2.3834,2.569,-0.1856,0.9674,1
"411",411,"VALUE"," STIM"," LOW","1",2.3908,-0.7307,1.0567,-1.7874,0.7839,1
"414",414,"WALLET"," STIM"," HIGH","6",1.3952,-2.9117,-2.2305,-0.6812,0.467,1
"417",417,"PUDDLE"," STIM"," HIGH","1",5.6961,1.3326,-2.6256,-2.3251,0.3336,1
"421",421,"LOAD"," STIM"," LOW","1",0.8805,2.0882,0.6954,1.3928,1.4678,1
"423",423,"BRA"," STIM"," HIGH","6",0.7624,1.0749,2.2844,-1.2095,0.5504,1
"425",425,"FACE"," STIM"," HIGH","1",1.381,-2.7647,-0.5809,-2.1838,0.2502,1
"426",426,"BEETLE"," STIM"," HIGH","1",2.9132,2.3991,2.3529,0.0462,0.3836,1
"428",428,"SKIRT"," STIM"," HIGH","6",0.8588,0.036,2.39,-2.354,0.5838,1
"430",430,"HATE"," STIM"," LOW","6",0.8345,2.5164,-0.8242,-2.9425,0.3669,1
"432",432,"CASKET"," STIM"," HIGH","1",0.9017,-1.7618,0.5248,-2.2866,0.3336,1
"433",433,"RESULT"," STIM"," LOW","6",0.7528,1.3599,-2.4275,-2.4958,0.6005,1
"437",437,"SHOWN"," STIM"," LOW","6",1.0014,-2.757,0.7854,2.7407,0.3669,1
"439",439,"DOUGH"," STIM"," HIGH","1",0.8791,-0.7069,-2.3882,1.6813,0.5671,1
"442",442,"REAR"," STIM"," LOW","1",0.5895,2.9926,2.4638,0.5288,0.5671,1
"443",443,"HYBRID"," STIM"," LOW","6",1.1189,2.8825,-0.3895,-3.0111,0.3336,1
"444",444,"MEAT"," STIM"," HIGH","1",1.7867,-0.3235,-2.6224,2.299,0.3169,1
"445",445,"VETO"," STIM"," LOW","6",1.5124,-2.5325,2.1166,1.6341,1.1509,1
"447",447,"BIRD"," STIM"," HIGH","6",1.7727,-1.6829,2.4021,2.1981,0.6005,1
"449",449,"PAINT"," STIM"," HIGH","1",1.1295,0.8,0.778,0.022,0.3002,1
"450",450,"TOO"," STIM"," LOW","1",1.2949,-2.3916,3.1179,0.7737,0.3336,1
