word, type, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT
BOTANY, STIM, LOW, 4, 1.7877, -1.3362, -0.3843, -0.9519, 0.4503
EXCISE, FOIL, LOW, 1, 1.2039, NA, NA, NA, NA
PLUG, STIM, HIGH, 6, 1.2369, -0.3346, 0.0466, -0.3812, 0.6338
SERIAL, STIM, LOW, 6, 1.1334, 2.9354, 2.9550, -0.0196, 0.6338
BLOW, FOIL, LOW, 6, 0.8735, NA, NA, NA, NA
JACKET, FOIL, HIGH, 2, 1.2127, NA, NA, NA, NA
BATH, STIM, HIGH, 4, 2.6654, -2.2740, 2.1688, 1.8404, 0.6171
CEREAL, FOIL, HIGH, 3, 1.0249, NA, NA, NA, NA
CORPSE, FOIL, HIGH, 1, 1.5113, NA, NA, NA, NA
IDEA, STIM, LOW, 6, 1.1950, 0.7496, 0.6854, 0.0643, 0.9841
GOT, FOIL, LOW, 2, 1.2740, NA, NA, NA, NA
AM, FOIL, LOW, 1, 1.1887, NA, NA, NA, NA
UPON, FOIL, LOW, 1, 1.0823, NA, NA, NA, NA
BREAD, STIM, HIGH, 6, 0.6115, 0.1011, 0.0000, 0.1011, 0.5504
AURORA, STIM, LOW, 6, 0.6483, 2.6958, 2.7244, -0.0286, 0.6338
TITLE, FOIL, LOW, 4, 1.4524, NA, NA, NA, NA
PSALM, STIM, LOW, 6, 1.0310, -2.7506, -2.8020, 0.0514, 0.6505
NAVEL, STIM, HIGH, 6, 1.2483, 0.4015, 0.4385, -0.0370, 1.1509
HUT, STIM, HIGH, 6, 1.3989, 2.3507, 2.2896, 0.0611, 0.7839
SKATE, STIM, HIGH, 6, 0.9284, -1.7241, -1.5861, -0.1380, 0.9174
HERD, FOIL, HIGH, 1, 1.5368, NA, NA, NA, NA
HALT, FOIL, LOW, 3, 1.1423, NA, NA, NA, NA
BEING, FOIL, LOW, 2, 1.0292, NA, NA, NA, NA
FLEA, FOIL, HIGH, 2, 0.9454, NA, NA, NA, NA
BED, FOIL, HIGH, 1, 0.8057, NA, NA, NA, NA
