,condition,recog_rating,recog_RT,target_angle,response_angle,response_error,response_RT,participant
1112,1,6,0.7717,-1.8539,-1.2224,-0.6315,0.3002,1
1212,2,1,0.5934,-0.7318,-1.5905,0.8587,0.5004,1
1610,2,6,0.6899,0.2024,0.2687,-0.0663,0.1168,1
1910,2,1,0.9318,-2.3152,0.2868,-2.602,0.3669,1
2010,2,1,0.6022,-2.6857,-2.5797,-0.1061,0.3336,1
21,2,1,1.5052,1.8441,0.9463,0.8978,0.5004,1
22,1,6,1.5805,1.0044,2.1379,-1.1334,0.2835,1
2310,1,1,0.8357,-1.3925,2.049,2.8417,0.2502,1
26,1,1,0.6935,0.3663,-1.9966,2.3629,0.7005,1
283,1,6,0.4839,0.764,2.0689,-1.3049,0.5004,1
291,2,6,0.6842,-3.1021,-0.2707,-2.8315,0.2335,1
311,2,6,0.7066,2.0148,0.9193,1.0955,0.3503,1
321,2,1,0.9884,-0.9084,0.9772,-1.8856,0.8173,1
37,2,1,0.7933,1.1766,-1.0272,2.2037,0.2168,1
40,1,1,0.8542,0.8898,1.3501,-0.4604,0.3669,1
45,1,6,0.762,2.166,-2.5752,-1.5419,0.3836,1
462,1,6,1.0399,2.0144,1.0086,1.0058,0.7673,1
482,2,6,0.6453,3.0843,1.5708,1.5135,0.5337,1
502,1,6,0.7622,-1.5736,2.4475,2.262,0.3669,1
51,2,1,2.0226,1.5286,-0.3138,1.8423,0.884,1
55,2,1,0.7868,-2.1155,2.235,1.9327,0.4003,1
561,2,6,0.8121,1.8841,0.7292,1.1549,0.6005,1
571,1,6,0.9175,1.723,-0.0038,1.7269,0.1168,1
582,2,6,0.5861,-1.7278,2.4241,2.1313,0.2502,1
591,1,6,0.8238,-0.9908,-0.5743,-0.4165,0.1501,1
631,1,1,0.5524,0.544,2.3118,-1.7677,0.2669,1
64,1,1,0.7942,1.5881,-0.7671,2.3552,0.0334,1
67,1,6,1.1358,1.1345,1.861,-0.7265,0.417,1
72,1,1,1.4738,-2.6573,0.0874,-2.7447,0.2168,1
741,2,1,0.6905,-2.9528,0.6923,2.638,0.6005,1
771,1,1,1.1913,2.2097,-2.5783,-1.4952,0.2502,1
78,2,1,3.8374,3.074,1.2688,1.8052,0.3503,1
792,1,6,0.8203,-2.3353,2.8213,1.1266,0.5504,1
801,1,6,0.6731,-1.4398,0.2719,-1.7118,0.0667,1
812,2,1,7.8541,-3.1114,-2.7224,-0.389,0.2335,1
821,1,1,9.8693,-1.1595,1.7692,-2.9287,0.3836,1
842,1,3,1.3933,-2.9505,0.4871,2.8455,0.3169,1
89,1,6,3.9503,-2.8216,-2.0613,-0.7603,0.3002,1
901,1,6,1.8017,2.916,2.4897,0.4263,0.3503,1
912,1,1,1.4513,2.348,-0.0287,2.3767,0.3002,1
921,1,1,0.599,-0.2335,-0.6817,0.4482,0.3836,1
94,1,1,2.5529,1.975,0.6466,1.3284,0.3002,1
991,1,6,1.3793,2.1401,-0.8631,3.0032,0.3169,1
1001,1,1,0.5531,-1.0808,2.7663,2.4361,0.3169,1
1031,1,6,0.6053,-2.8743,-1.3714,-1.5029,0.1001,1
106,2,1,0.696,2.7669,2.3709,0.396,0.3669,1
1091,1,1,1.0197,-0.2354,-1.9503,1.7149,0.2002,1
1102,2,6,0.9337,-1.9804,-1.4937,-0.4867,0.3336,1
1113,1,6,0.8239,2.9159,-0.6306,-2.7366,0.6505,1
1121,2,6,0.7164,-0.9106,0.5071,-1.4177,0.6338,1
1171,2,1,0.7761,2.1215,0.0839,2.0377,0.3002,1
119,2,1,0.9367,-1.3033,-0.4593,-0.844,0.2502,1
1201,1,6,0.9788,0.2526,3.0056,-2.753,0.2669,1
1222,1,1,0.5995,-0.6937,2.1208,-2.8145,0.5171,1
1241,1,1,0.8131,1.4382,-0.2389,1.6771,0.3503,1
1251,1,1,0.6131,-0.0089,-2.6683,2.6594,0.5171,1
1261,1,1,0.702,0.3809,2.8586,-2.4777,0.3836,1
1271,1,6,0.6894,-0.1945,0.3463,-0.5408,0.5838,1
1292,1,1,0.5848,1.8254,-0.493,2.3184,0.834,1
130,2,1,0.5134,-1.6463,-0.1794,-1.4669,0.2502,1
1372,2,1,2.0357,0.7246,1.541,-0.8164,0.5838,1
139,1,6,0.9202,-0.9686,-1.9832,1.0146,0.2168,1
142,2,1,0.8476,-1.4996,-0.245,-1.2546,0.6005,1
1451,2,1,0.6573,2.5986,-0.7429,-2.9417,0.4837,1
1471,2,1,0.5441,-1.3383,2.3157,2.6292,0.4003,1
1481,2,6,0.7471,0.2427,-2.7936,3.0363,0.0834,1
1501,2,1,0.8131,1.9285,2.3183,-0.3898,0.3503,1
1561,2,1,0.5692,1.1275,2.6392,-1.5118,0.3169,1
1592,1,1,0.8256,-1.6983,-2.4429,0.7446,0.05,1
161,1,6,2.7434,-0.5411,-0.4956,-0.0455,0.1334,1
