word, type, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT
SHOP, STIM, HIGH, 6, 1.0025, -1.8692, -1.7906, -0.0787, 1.0508
PRIME, STIM, LOW, 6, 1.0157, 0.0065, -0.0569, 0.0634, 1.2510
REMEDY, FOIL, LOW, 1, 2.9343, NA, NA, NA, NA
AXLE, FOIL, HIGH, 1, 1.2284, NA, NA, NA, NA
TABLE, STIM, HIGH, 6, 1.8973, -2.7350, -2.3380, -0.3970, 1.6846
PASS, FOIL, LOW, 1, 1.4438, NA, NA, NA, NA
TRUCK, STIM, HIGH, 6, 0.9867, -1.1648, -1.5551, 0.3903, 1.9848
CHEST, FOIL, HIGH, 1, 2.3757, NA, NA, NA, NA
VELVET, STIM, HIGH, 6, 1.1249, 3.0064, 2.9790, 0.0274, 0.7506
ARROW, STIM, HIGH, 4, 3.1935, -2.7894, -2.7919, 0.0025, 0.8173
TOILET, FOIL, HIGH, 1, 1.8062, NA, NA, NA, NA
TO, STIM, LOW, 6, 1.1816, -1.1778, -1.0698, -0.1080, 1.1509
CAUCUS, FOIL, LOW, 1, 1.6698, NA, NA, NA, NA
TOMATO, STIM, HIGH, 6, 1.0760, -2.6510, -2.7171, 0.0660, 1.0174
MINNOW, STIM, HIGH, 6, 0.9650, 0.1025, 0.2875, -0.1850, 1.0508
SEA, STIM, HIGH, 6, 0.9043, -2.6025, -2.2576, -0.3449, 1.1175
SLOUGH, FOIL, LOW, 1, 1.2109, NA, NA, NA, NA
SHIELD, FOIL, HIGH, 1, 1.5317, NA, NA, NA, NA
KNEE, FOIL, HIGH, 1, 1.0298, NA, NA, NA, NA
REIGN, FOIL, LOW, 1, 0.9981, NA, NA, NA, NA
WHERE, FOIL, LOW, 1, 1.7143, NA, NA, NA, NA
THROE, FOIL, LOW, 1, 0.9759, NA, NA, NA, NA
SWAYED, STIM, LOW, 6, 3.3863, 1.8439, 2.1988, -0.3549, 0.7005
IDEA, STIM, LOW, 6, 1.8146, -0.3839, -0.5937, 0.2099, 1.8347
WEIRD, FOIL, LOW, 6, 2.8087, NA, NA, NA, NA
CLOUD, FOIL, HIGH, 1, 4.2694, NA, NA, NA, NA
INCISE, STIM, LOW, 6, 1.2315, -1.7200, -2.1474, 0.4274, 2.3017
MUD, STIM, HIGH, 6, 1.6880, -2.7634, -2.2805, -0.4829, 4.8203
SHEER, STIM, LOW, 6, 1.3005, -2.0184, -2.5492, 0.5309, 1.9014
FOAM, FOIL, HIGH, 1, 1.3102, NA, NA, NA, NA
KEEP, FOIL, LOW, 1, 1.4920, NA, NA, NA, NA
RITUAL, FOIL, LOW, 1, 1.1414, NA, NA, NA, NA
BIT, FOIL, LOW, 1, 1.3105, NA, NA, NA, NA
MORBID, FOIL, LOW, 1, 2.0606, NA, NA, NA, NA
GENIUS, STIM, LOW, 6, 2.4337, 1.6121, 1.5142, 0.0980, 1.0008
NEXT, STIM, LOW, 6, 1.1089, -2.8436, -2.6802, -0.1634, 2.4519
MAD, FOIL, LOW, 1, 1.3498, NA, NA, NA, NA
MINUTE, STIM, LOW, 6, 1.1077, -2.0847, -1.9089, -0.1757, 0.8840
RUBY, STIM, HIGH, 1, 2.7025, 1.2361, 0.3872, 0.8489, 1.3177
TOLD, STIM, LOW, 6, 0.9509, -2.1754, -2.2274, 0.0520, 0.9340
BHANG, FOIL, LOW, 1, 1.0579, NA, NA, NA, NA
CRAB, STIM, HIGH, 1, 2.9434, -0.0966, -0.9672, 0.8706, 1.1842
NIDUS, STIM, LOW, 6, 2.6179, 1.8471, 1.8357, 0.0114, 0.9340
CHERRY, FOIL, HIGH, 1, 1.0460, NA, NA, NA, NA
YORE, STIM, LOW, 6, 1.4397, -1.2596, -1.3979, 0.1383, 1.8848
WOUND, FOIL, HIGH, 1, 1.5659, NA, NA, NA, NA
FACE, STIM, HIGH, 6, 1.0799, 0.8320, 0.9743, -0.1423, 0.8006
COACH, STIM, HIGH, 6, 0.9993, 1.6228, 1.5708, 0.0520, 0.9340
TWANG, STIM, LOW, 6, 2.5753, 3.1085, -3.1364, -0.0383, 0.9841
SHRIMP, FOIL, HIGH, 1, 1.6814, NA, NA, NA, NA
KITE, STIM, HIGH, 6, 1.0972, 2.8139, 2.2423, 0.5716, 1.2176
MOVE, FOIL, LOW, 1, 1.7899, NA, NA, NA, NA
MIEN, FOIL, LOW, 1, 1.1898, NA, NA, NA, NA
BAT, FOIL, HIGH, 1, 3.2691, NA, NA, NA, NA
CEREAL, STIM, HIGH, 6, 0.9876, -1.3527, -1.3877, 0.0350, 0.9674
GARLIC, FOIL, HIGH, 1, 1.1363, NA, NA, NA, NA
STRING, STIM, HIGH, 6, 1.7335, -1.4070, -1.2918, -0.1152, 1.0675
PEAL, FOIL, LOW, 1, 1.1606, NA, NA, NA, NA
RUBBER, STIM, HIGH, 6, 1.4080, -2.7541, 2.8561, 0.6729, 2.5686
WHALE, STIM, HIGH, 6, 0.9188, 0.6196, 0.5909, 0.0287, 0.5004
BEAU, FOIL, LOW, 1, 1.0675, NA, NA, NA, NA
DAMSEL, FOIL, HIGH, 1, 1.8968, NA, NA, NA, NA
TAR, FOIL, HIGH, 1, 1.5154, NA, NA, NA, NA
CYNIC, STIM, LOW, 6, 1.4276, 2.2691, 2.0298, 0.2393, 1.6012
MONAD, FOIL, LOW, 1, 2.0710, NA, NA, NA, NA
ANNEAL, FOIL, LOW, 1, 1.4761, NA, NA, NA, NA
MONK, STIM, HIGH, 6, 1.4165, 1.1482, 1.3572, -0.2090, 2.1016
ANT, STIM, HIGH, 6, 1.8401, 0.1305, 1.0045, -0.8739, 0.8673
GIST, STIM, LOW, 6, 0.8619, -2.1686, -2.0122, -0.1563, 1.1008
ROAD, STIM, HIGH, 6, 1.7235, 0.8636, -2.3884, -3.0312, 3.4026
TUCK, FOIL, LOW, 1, 1.4470, NA, NA, NA, NA
HOSE, STIM, HIGH, 6, 1.3957, 2.4198, 2.2153, 0.2045, 0.7839
FLOOD, FOIL, HIGH, 1, 2.7658, NA, NA, NA, NA
LESS, FOIL, LOW, 1, 1.9714, NA, NA, NA, NA
KNIFE, STIM, HIGH, 6, 1.2664, -2.9999, 3.1010, 0.1823, 0.9674
