WORD                     CNC FAM IMG NLET
STEM                     556 513 533  4   
STEP                     508 578 483  4   
STEW                     603 522 587  4   
STOP                     308 563 452  4   
STUB                     542 387 495  4   
SUCH                     248 521 219  4   
SUDS                     554 436 565  4   
SUIT                     545 543 536  4   
SURE                     281 552 285  4   
SURF                     527 526 601  4   
SWIM                     482 550 572  4   
TACK                     565 463 546  4   
TAIL                     613 533 551  4   
TAKE                     332 555 337  4   
TALE                     352 499 363  4   
TALK                     422 613 453  4   
TALL                     439 585 514  4   
TAME                     335 501 447  4   
TANG                     478 436 518  4   
TANK                     581 511 563  4   
TAPE                     564 567 573  4   
TARN                     399 251 299  4   
TASK                     409 514 410  4   
TEAM                     492 538 565  4   
TEAR                     504 555 550  4   
TEEM                     340 323 346  4   
TELL                     306 596 350  4   
TENT                     608 521 593  4   
TERM                     374 575 387  4   
TEST                     520 566 528  4   
TEXT                     498 511 437  4   
THAN                     188 545 213  4   
THAT                     232 611 225  4   
THAW                     368 492 466  4   
THEM                     344 542 368  4   
THEN                     190 610 204  4   
THEY                     316 607 312  4   
THIN                     392 570 502  4   
THIS                     240 601 279  4   
THUD                     423 456 453  4   
THUS                     197 507 267  4   
TIDE                     516 504 530  4   
TIDY                     311 490 478  4   
TILL                     365 442 364  4   
TIME                     343 604 413  4   
TING                     350 190 316  4   
TIRE                     563 546 511  4   
TOAD                     568 516 591  4   
TOIL                     386 468 393  4   
TOLD                     318 531 286  4   
TOLL                     424 485 419  4   
TOMB                     573 450 596  4   
TOOL                     570 532 538  4   
TOWN                     556 589 553  4   
TRAY                     590 558 550  4   
TREE                     604 613 622  4   
TREY                     389 256 287  4   
TRIM                     388 456 378  4   
TRIP                     448 559 520  4   
TRUE                     269 605 365  4   
TUBE                     581 539 564  4   
TUCK                     437 452 416  4   
TUFF                     352 341 366  4   
TUNE                     464 545 463  4   
TURN                     359 583 384  4   
TUSH                     287 157 143  4   
TUSK                     580 433 538  4   
TWIG                     559 493 555  4   
TYPE                     376 567 395  4   
UGLY                     377 562 491  4   
UNIT                     389 513 334  4   
UPON                     311 575 334  4   
USED                     315 567 344  4   
VAIN                     315 486 351  4   
